region,province,municipality
Cordillera Administrative Region (CAR),Benguet,Bakun
Cordillera Administrative Region (CAR),Benguet,Bokod
Cordillera Administrative Region (CAR),Benguet,Buguias
Cordillera Administrative Region (CAR),Benguet,Itogon
Cordillera Administrative Region (CAR),Benguet,Kabayan
Cordillera Administrative Region (CAR),Benguet,Kapangan
Cordillera Administrative Region (CAR),Benguet,Kibungan
Cordillera Administrative Region (CAR),Benguet,La Trinidad
Cordillera Administrative Region (CAR),Benguet,Mankayan
Cordillera Administrative Region (CAR),Benguet,Sablan
Cordillera Administrative Region (CAR),Benguet,Tuba
Cordillera Administrative Region (CAR),Benguet,Tublay
Cordillera Administrative Region (CAR),Ifugao,Aguinaldo
Cordillera Administrative Region (CAR),Ifugao,Alfonso Lista
Cordillera Administrative Region (CAR),Ifugao,Asipulo
Cordillera Administrative Region (CAR),Ifugao,Banaue
Cordillera Administrative Region (CAR),Ifugao,Hingyon
Cordillera Administrative Region (CAR),Ifugao,Hungduan
Cordillera Administrative Region (CAR),Ifugao,Kiangan
Cordillera Administrative Region (CAR),Ifugao,Lagawe
Cordillera Administrative Region (CAR),Ifugao,Lamut
Cordillera Administrative Region (CAR),Ifugao,Mayoyao
Cordillera Administrative Region (CAR),Ifugao,Tinoc
Cordillera Administrative Region (CAR),Kalinga,Balbalan
Cordillera Administrative Region (CAR),Kalinga,City of Tabuk
Cordillera Administrative Region (CAR),Kalinga,Lubuagan
Cordillera Administrative Region (CAR),Kalinga,Pasil
Cordillera Administrative Region (CAR),Kalinga,Pinukpuk
Cordillera Administrative Region (CAR),Kalinga,Rizal
Cordillera Administrative Region (CAR),Kalinga,Tanudan
Cordillera Administrative Region (CAR),Kalinga,Tinglayan
Cordillera Administrative Region (CAR),Mountain Province,Barlig
Cordillera Administrative Region (CAR),Mountain Province,Bauko
Cordillera Administrative Region (CAR),Mountain Province,Besao
Cordillera Administrative Region (CAR),Mountain Province,Bontoc
Cordillera Administrative Region (CAR),Mountain Province,Natonin
Cordillera Administrative Region (CAR),Mountain Province,Paracelis
Cordillera Administrative Region (CAR),Mountain Province,Sabangan
Cordillera Administrative Region (CAR),Mountain Province,Sadanga
Cordillera Administrative Region (CAR),Mountain Province,Sagada
Cordillera Administrative Region (CAR),Mountain Province,Tadian
Cordillera Administrative Region (CAR),City of Baguio,Tadian
MIMAROPA Region,Marinduque,Boac
MIMAROPA Region,Marinduque,Buenavista
MIMAROPA Region,Marinduque,Gasan
MIMAROPA Region,Marinduque,Mogpog
MIMAROPA Region,Marinduque,Santa Cruz
MIMAROPA Region,Marinduque,Torrijos
MIMAROPA Region,Occidental Mindoro,Abra De Ilog
MIMAROPA Region,Occidental Mindoro,Calintaan
MIMAROPA Region,Occidental Mindoro,Looc
MIMAROPA Region,Occidental Mindoro,Lubang
MIMAROPA Region,Occidental Mindoro,Magsaysay
MIMAROPA Region,Occidental Mindoro,Mamburao
MIMAROPA Region,Occidental Mindoro,Paluan
MIMAROPA Region,Occidental Mindoro,Rizal
MIMAROPA Region,Occidental Mindoro,Sablayan
MIMAROPA Region,Occidental Mindoro,San Jose
MIMAROPA Region,Occidental Mindoro,Santa Cruz
MIMAROPA Region,Oriental Mindoro,Baco
MIMAROPA Region,Oriental Mindoro,Bansud
MIMAROPA Region,Oriental Mindoro,Bongabong
MIMAROPA Region,Oriental Mindoro,Bulalacao
MIMAROPA Region,Oriental Mindoro,City of Calapan
MIMAROPA Region,Oriental Mindoro,Gloria
MIMAROPA Region,Oriental Mindoro,Mansalay
MIMAROPA Region,Oriental Mindoro,Naujan
MIMAROPA Region,Oriental Mindoro,Pinamalayan
MIMAROPA Region,Oriental Mindoro,Pola
MIMAROPA Region,Oriental Mindoro,Puerto Galera
MIMAROPA Region,Oriental Mindoro,Roxas
MIMAROPA Region,Oriental Mindoro,San Teodoro
MIMAROPA Region,Oriental Mindoro,Socorro
MIMAROPA Region,Oriental Mindoro,Victoria
MIMAROPA Region,Palawan,Aborlan
MIMAROPA Region,Palawan,Agutaya
MIMAROPA Region,Palawan,Araceli
MIMAROPA Region,Palawan,Balabac
MIMAROPA Region,Palawan,Bataraza
MIMAROPA Region,Palawan,Brooke's Point
MIMAROPA Region,Palawan,Busuanga
MIMAROPA Region,Palawan,Cagayancillo
MIMAROPA Region,Palawan,Coron
MIMAROPA Region,Palawan,Culion
MIMAROPA Region,Palawan,Cuyo
MIMAROPA Region,Palawan,Dr. Jose P. Rizal
MIMAROPA Region,Palawan,Dumaran
MIMAROPA Region,Palawan,El Nido
MIMAROPA Region,Palawan,Kalayaan
MIMAROPA Region,Palawan,Linapacan
MIMAROPA Region,Palawan,Magsaysay
MIMAROPA Region,Palawan,Narra
MIMAROPA Region,Palawan,Quezon
MIMAROPA Region,Palawan,Roxas
MIMAROPA Region,Palawan,San Vicente
MIMAROPA Region,Palawan,Sofronio Española
MIMAROPA Region,Palawan,Taytay
MIMAROPA Region,Romblon,Alcantara
MIMAROPA Region,Romblon,Banton
MIMAROPA Region,Romblon,Cajidiocan
MIMAROPA Region,Romblon,Calatrava
MIMAROPA Region,Romblon,Concepcion
MIMAROPA Region,Romblon,Corcuera
MIMAROPA Region,Romblon,Ferrol
MIMAROPA Region,Romblon,Looc
MIMAROPA Region,Romblon,Magdiwang
MIMAROPA Region,Romblon,Odiongan
MIMAROPA Region,Romblon,Romblon
MIMAROPA Region,Romblon,San Agustin
MIMAROPA Region,Romblon,San Andres
MIMAROPA Region,Romblon,San Fernando
MIMAROPA Region,Romblon,San Jose
MIMAROPA Region,Romblon,Santa Fe
MIMAROPA Region,Romblon,Santa Maria
MIMAROPA Region,City of Puerto Princesa,Santa Maria
National Capital Region (NCR),City of Manila,Binondo
National Capital Region (NCR),City of Manila,Ermita
National Capital Region (NCR),City of Manila,Intramuros
National Capital Region (NCR),City of Manila,Malate
National Capital Region (NCR),City of Manila,Paco
National Capital Region (NCR),City of Manila,Pandacan
National Capital Region (NCR),City of Manila,Port Area
National Capital Region (NCR),City of Manila,Quiapo
National Capital Region (NCR),City of Manila,Sampaloc
National Capital Region (NCR),City of Manila,San Miguel
National Capital Region (NCR),City of Manila,San Nicolas
National Capital Region (NCR),City of Manila,Santa Ana
National Capital Region (NCR),City of Manila,Santa Cruz
National Capital Region (NCR),City of Manila,Tondo I/II
National Capital Region (NCR),City of Caloocan,Tondo I/II
National Capital Region (NCR),City of Las Piñas,Tondo I/II
National Capital Region (NCR),City of Makati,Tondo I/II
National Capital Region (NCR),City of Malabon,Tondo I/II
National Capital Region (NCR),City of Mandaluyong,Tondo I/II
National Capital Region (NCR),City of Marikina,Tondo I/II
National Capital Region (NCR),City of Muntinlupa,Tondo I/II
National Capital Region (NCR),City of Navotas,Tondo I/II
National Capital Region (NCR),City of Parañaque,Tondo I/II
National Capital Region (NCR),City of Pasig,Tondo I/II
National Capital Region (NCR),City of San Juan,Tondo I/II
National Capital Region (NCR),City of Taguig,Tondo I/II
National Capital Region (NCR),City of Valenzuela,Tondo I/II
National Capital Region (NCR),Pasay City,Tondo I/II
National Capital Region (NCR),Quezon City,Tondo I/II
National Capital Region (NCR),Pateros,Tondo I/II
Negros Island Region (NIR),Negros Occidental,Binalbagan
Negros Island Region (NIR),Negros Occidental,Calatrava
Negros Island Region (NIR),Negros Occidental,Candoni
Negros Island Region (NIR),Negros Occidental,Cauayan
Negros Island Region (NIR),Negros Occidental,City of Bago
Negros Island Region (NIR),Negros Occidental,City of Cadiz
Negros Island Region (NIR),Negros Occidental,City of Escalante
Negros Island Region (NIR),Negros Occidental,City of Himamaylan
Negros Island Region (NIR),Negros Occidental,City of Kabankalan
Negros Island Region (NIR),Negros Occidental,City of La Carlota
Negros Island Region (NIR),Negros Occidental,City of Sagay
Negros Island Region (NIR),Negros Occidental,City of San Carlos
Negros Island Region (NIR),Negros Occidental,City of Silay
Negros Island Region (NIR),Negros Occidental,City of Sipalay
Negros Island Region (NIR),Negros Occidental,City of Talisay
Negros Island Region (NIR),Negros Occidental,City of Victorias
Negros Island Region (NIR),Negros Occidental,Enrique B. Magalona
Negros Island Region (NIR),Negros Occidental,Hinigaran
Negros Island Region (NIR),Negros Occidental,Hinoba-an
Negros Island Region (NIR),Negros Occidental,Ilog
Negros Island Region (NIR),Negros Occidental,Isabela
Negros Island Region (NIR),Negros Occidental,La Castellana
Negros Island Region (NIR),Negros Occidental,Manapla
Negros Island Region (NIR),Negros Occidental,Moises Padilla
Negros Island Region (NIR),Negros Occidental,Murcia
Negros Island Region (NIR),Negros Occidental,Pontevedra
Negros Island Region (NIR),Negros Occidental,Pulupandan
Negros Island Region (NIR),Negros Occidental,Salvador Benedicto
Negros Island Region (NIR),Negros Occidental,San Enrique
Negros Island Region (NIR),Negros Occidental,Toboso
Negros Island Region (NIR),Negros Occidental,Valladolid
Negros Island Region (NIR),Negros Oriental,Amlan
Negros Island Region (NIR),Negros Oriental,Ayungon
Negros Island Region (NIR),Negros Oriental,Bacong
Negros Island Region (NIR),Negros Oriental,Basay
Negros Island Region (NIR),Negros Oriental,Bindoy
Negros Island Region (NIR),Negros Oriental,City of Bais
Negros Island Region (NIR),Negros Oriental,City of Bayawan
Negros Island Region (NIR),Negros Oriental,City of Canlaon
Negros Island Region (NIR),Negros Oriental,City of Dumaguete
Negros Island Region (NIR),Negros Oriental,City of Guihulngan
Negros Island Region (NIR),Negros Oriental,City of Tanjay
Negros Island Region (NIR),Negros Oriental,Dauin
Negros Island Region (NIR),Negros Oriental,Jimalalud
Negros Island Region (NIR),Negros Oriental,La Libertad
Negros Island Region (NIR),Negros Oriental,Mabinay
Negros Island Region (NIR),Negros Oriental,Manjuyod
Negros Island Region (NIR),Negros Oriental,Pamplona
Negros Island Region (NIR),Negros Oriental,San Jose
Negros Island Region (NIR),Negros Oriental,Santa Catalina
Negros Island Region (NIR),Negros Oriental,Siaton
Negros Island Region (NIR),Negros Oriental,Sibulan
Negros Island Region (NIR),Negros Oriental,Tayasan
Negros Island Region (NIR),Negros Oriental,Valencia
Negros Island Region (NIR),Negros Oriental,Vallehermoso
Negros Island Region (NIR),Negros Oriental,Zamboanguita
Negros Island Region (NIR),Siquijor,Enrique Villanueva
Negros Island Region (NIR),Siquijor,Larena
Negros Island Region (NIR),Siquijor,Lazi
Negros Island Region (NIR),Siquijor,Maria
Negros Island Region (NIR),Siquijor,San Juan
Negros Island Region (NIR),Siquijor,Siquijor
Negros Island Region (NIR),City of Bacolod,Siquijor
Region I (Ilocos Region),Ilocos Norte,Adams
Region I (Ilocos Region),Ilocos Norte,Bacarra
Region I (Ilocos Region),Ilocos Norte,Badoc
Region I (Ilocos Region),Ilocos Norte,Bangui
Region I (Ilocos Region),Ilocos Norte,Banna
Region I (Ilocos Region),Ilocos Norte,Burgos
Region I (Ilocos Region),Ilocos Norte,Carasi
Region I (Ilocos Region),Ilocos Norte,City of Batac
Region I (Ilocos Region),Ilocos Norte,City of Laoag
Region I (Ilocos Region),Ilocos Norte,Currimao
Region I (Ilocos Region),Ilocos Norte,Dingras
Region I (Ilocos Region),Ilocos Norte,Dumalneg
Region I (Ilocos Region),Ilocos Norte,Marcos
Region I (Ilocos Region),Ilocos Norte,Nueva Era
Region I (Ilocos Region),Ilocos Norte,Pagudpud
Region I (Ilocos Region),Ilocos Norte,Paoay
Region I (Ilocos Region),Ilocos Norte,Pasuquin
Region I (Ilocos Region),Ilocos Norte,Piddig
Region I (Ilocos Region),Ilocos Norte,Pinili
Region I (Ilocos Region),Ilocos Norte,San Nicolas
Region I (Ilocos Region),Ilocos Norte,Sarrat
Region I (Ilocos Region),Ilocos Norte,Solsona
Region I (Ilocos Region),Ilocos Norte,Vintar
Region I (Ilocos Region),Ilocos Sur,Alilem
Region I (Ilocos Region),Ilocos Sur,Banayoyo
Region I (Ilocos Region),Ilocos Sur,Bantay
Region I (Ilocos Region),Ilocos Sur,Burgos
Region I (Ilocos Region),Ilocos Sur,Cabugao
Region I (Ilocos Region),Ilocos Sur,Caoayan
Region I (Ilocos Region),Ilocos Sur,Cervantes
Region I (Ilocos Region),Ilocos Sur,City of Candon
Region I (Ilocos Region),Ilocos Sur,City of Vigan
Region I (Ilocos Region),Ilocos Sur,Galimuyod
Region I (Ilocos Region),Ilocos Sur,Gregorio del Pilar
Region I (Ilocos Region),Ilocos Sur,Lidlidda
Region I (Ilocos Region),Ilocos Sur,Magsingal
Region I (Ilocos Region),Ilocos Sur,Nagbukel
Region I (Ilocos Region),Ilocos Sur,Narvacan
Region I (Ilocos Region),Ilocos Sur,Quirino
Region I (Ilocos Region),Ilocos Sur,Salcedo
Region I (Ilocos Region),Ilocos Sur,San Emilio
Region I (Ilocos Region),Ilocos Sur,San Esteban
Region I (Ilocos Region),Ilocos Sur,San Ildefonso
Region I (Ilocos Region),Ilocos Sur,San Juan
Region I (Ilocos Region),Ilocos Sur,San Vicente
Region I (Ilocos Region),Ilocos Sur,Santa
Region I (Ilocos Region),Ilocos Sur,Santa Catalina
Region I (Ilocos Region),Ilocos Sur,Santa Cruz
Region I (Ilocos Region),Ilocos Sur,Santa Lucia
Region I (Ilocos Region),Ilocos Sur,Santa Maria
Region I (Ilocos Region),Ilocos Sur,Santiago
Region I (Ilocos Region),Ilocos Sur,Santo Domingo
Region I (Ilocos Region),Ilocos Sur,Sigay
Region I (Ilocos Region),Ilocos Sur,Sinait
Region I (Ilocos Region),Ilocos Sur,Sugpon
Region I (Ilocos Region),Ilocos Sur,Suyo
Region I (Ilocos Region),Ilocos Sur,Tagudin
Region I (Ilocos Region),La Union,Agoo
Region I (Ilocos Region),La Union,Aringay
Region I (Ilocos Region),La Union,Bacnotan
Region I (Ilocos Region),La Union,Bagulin
Region I (Ilocos Region),La Union,Balaoan
Region I (Ilocos Region),La Union,Bangar
Region I (Ilocos Region),La Union,Bauang
Region I (Ilocos Region),La Union,Burgos
Region I (Ilocos Region),La Union,Caba
Region I (Ilocos Region),La Union,City of San Fernando
Region I (Ilocos Region),La Union,Luna
Region I (Ilocos Region),La Union,Naguilian
Region I (Ilocos Region),La Union,Pugo
Region I (Ilocos Region),La Union,Rosario
Region I (Ilocos Region),La Union,San Gabriel
Region I (Ilocos Region),La Union,San Juan
Region I (Ilocos Region),La Union,Santo Tomas
Region I (Ilocos Region),La Union,Santol
Region I (Ilocos Region),La Union,Sudipen
Region I (Ilocos Region),La Union,Tubao
Region I (Ilocos Region),Pangasinan,Agno
Region I (Ilocos Region),Pangasinan,Aguilar
Region I (Ilocos Region),Pangasinan,Alcala
Region I (Ilocos Region),Pangasinan,Anda
Region I (Ilocos Region),Pangasinan,Asingan
Region I (Ilocos Region),Pangasinan,Balungao
Region I (Ilocos Region),Pangasinan,Bani
Region I (Ilocos Region),Pangasinan,Basista
Region I (Ilocos Region),Pangasinan,Bautista
Region I (Ilocos Region),Pangasinan,Bayambang
Region I (Ilocos Region),Pangasinan,Binalonan
Region I (Ilocos Region),Pangasinan,Binmaley
Region I (Ilocos Region),Pangasinan,Bolinao
Region I (Ilocos Region),Pangasinan,Bugallon
Region I (Ilocos Region),Pangasinan,Burgos
Region I (Ilocos Region),Pangasinan,Calasiao
Region I (Ilocos Region),Pangasinan,City of Alaminos
Region I (Ilocos Region),Pangasinan,City of Dagupan
Region I (Ilocos Region),Pangasinan,City of San Carlos
Region I (Ilocos Region),Pangasinan,City of Urdaneta
Region I (Ilocos Region),Pangasinan,Dasol
Region I (Ilocos Region),Pangasinan,Infanta
Region I (Ilocos Region),Pangasinan,Labrador
Region I (Ilocos Region),Pangasinan,Laoac
Region I (Ilocos Region),Pangasinan,Lingayen
Region I (Ilocos Region),Pangasinan,Mabini
Region I (Ilocos Region),Pangasinan,Malasiqui
Region I (Ilocos Region),Pangasinan,Manaoag
Region I (Ilocos Region),Pangasinan,Mangaldan
Region I (Ilocos Region),Pangasinan,Mangatarem
Region I (Ilocos Region),Pangasinan,Mapandan
Region I (Ilocos Region),Pangasinan,Natividad
